calibration_protocol_1.1,1.4.20190923,<User Name>,15/11/2019,12:00,,
SourcePlate500_90,Source Plate 1,,MWP 384,Target Plate 1,,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=1e-7,UseDeionisation=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandlingLevel=Ask,
Source Well,Target Well,Volume [L],Liquid Name
G11,A1,0.0,TMAC (mM)
G12,A1,0.0,TMAC (mM)
H1,A1,0.02,TMAC (mM)
H2,A1,0.005,TMAC (mM)
H3,A1,0.02,TMAC (mM)
H4,A1,0.01,TMAC (mM)
H5,A1,0.015,TMAC (mM)
H6,A1,0.02,TMAC (mM)
H7,A1,0.02,TMAC (mM)
H8,A1,0.0,TMAC (mM)
A1,A1,0.0005,DMSO (%)
A2,A1,0.0,DMSO (%)
A3,A1,0.0,DMSO (%)
A4,A1,0.0005,DMSO (%)
A5,A1,0.0005,DMSO (%)
A6,A1,0.0,DMSO (%)
A7,A1,0.0005,DMSO (%)
A8,A1,0.0,DMSO (%)
A9,A1,0.0005,DMSO (%)
A10,A1,0.0,DMSO (%)
A11,A1,0.0005,DMSO (%)
A12,A1,0.0005,DMSO (%)
B1,A1,0.0,DMSO (%)
B2,A1,0.0005,DMSO (%)
B3,A1,0.0,DMSO (%)
B4,A1,0.0005,DMSO (%)
B5,A1,0.0005,DMSO (%)
B6,A1,0.0005,DMSO (%)
B7,A1,0.0,DMSO (%)
B8,A1,0.0005,DMSO (%)
B9,A1,0.0005,DMSO (%)
B10,A1,0.0005,DMSO (%)
B11,A1,0.0,DMSO (%)
B12,A1,0.0005,DMSO (%)
C1,A1,0.0,DMSO (%)
C2,A1,0.0,DMSO (%)
C3,A1,0.0005,DMSO (%)
C4,A1,0.0005,DMSO (%)
C5,A1,0.0005,DMSO (%)
C6,A1,0.0005,DMSO (%)
C7,A1,0.0,DMSO (%)
C8,A1,0.0005,DMSO (%)
C9,A1,0.0005,DMSO (%)
C10,A1,0.0,DMSO (%)
C11,A1,0.0005,DMSO (%)
C12,A1,0.0005,DMSO (%)
D1,A1,0.0005,DMSO (%)
D2,A1,0.0,DMSO (%)
D3,A1,0.0,DMSO (%)
D4,A1,0.0005,DMSO (%)
D5,A1,0.0005,DMSO (%)
D6,A1,0.0005,DMSO (%)
D7,A1,0.0005,DMSO (%)
D8,A1,0.0,DMSO (%)
D9,A1,0.0005,DMSO (%)
D10,A1,0.0,DMSO (%)
D11,A1,0.0,DMSO (%)
D12,A1,0.0005,DMSO (%)
E1,A1,0.0005,DMSO (%)
E2,A1,0.0,DMSO (%)
E3,A1,0.0,DMSO (%)
E4,A1,0.0,DMSO (%)
E5,A1,0.0005,DMSO (%)
E6,A1,0.0005,DMSO (%)
E7,A1,0.0,DMSO (%)
E8,A1,0.0,DMSO (%)
E9,A1,0.0,DMSO (%)
E10,A1,0.0,DMSO (%)
E11,A1,0.0,DMSO (%)
E12,A1,0.0005,DMSO (%)
F1,A1,0.0,DMSO (%)
F2,A1,0.0005,DMSO (%)
F3,A1,0.0005,DMSO (%)
F4,A1,0.0005,DMSO (%)
F5,A1,0.0,DMSO (%)
F6,A1,0.0005,DMSO (%)
F7,A1,0.0,DMSO (%)
F8,A1,0.0,DMSO (%)
F9,A1,0.0,DMSO (%)
F10,A1,0.0,DMSO (%)
F11,A1,0.0,DMSO (%)
F12,A1,0.0,DMSO (%)
G1,A1,0.0005,DMSO (%)
G2,A1,0.0005,DMSO (%)
G3,A1,0.0,DMSO (%)
G4,A1,0.0005,DMSO (%)
G5,A1,0.0,DMSO (%)
G6,A1,0.0,DMSO (%)
G7,A1,0.0,DMSO (%)
G8,A1,0.0005,DMSO (%)
G9,A1,0.0005,DMSO (%)
G10,A1,0.0,DMSO (%)
G11,A1,0.0005,DMSO (%)
G12,A1,0.0,DMSO (%)
H1,A1,0.0005,DMSO (%)
H2,A1,0.0005,DMSO (%)
H3,A1,0.0,DMSO (%)
H4,A1,0.0,DMSO (%)
H5,A1,0.0005,DMSO (%)
H6,A1,0.0005,DMSO (%)
H7,A1,0.0,DMSO (%)
H8,A1,0.0005,DMSO (%)
