calibration_protocol_1.1,1.4.20190923,<User Name>,15/11/2019,12:00,,
SourcePlate500_90,Source Plate 1,,MWP 384,Target Plate 1,,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=1e-7,UseDeionisation=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandlingLevel=Ask,
,Source Well,Target Well,Volume [L],Liquid Name
266,G11,A3,0.0,KCl (mM)
267,G12,A3,0.0125,KCl (mM)
268,H1,A3,0.0,KCl (mM)
269,H2,A3,0.0125,KCl (mM)
270,H3,A3,0.0125,KCl (mM)
271,H4,A3,0.0025,KCl (mM)
272,H5,A3,0.0125,KCl (mM)
273,H6,A3,0.0025,KCl (mM)
274,H7,A3,0.0,KCl (mM)
275,H8,A3,0.0,KCl (mM)
276,A1,A4,6e-05,Enzyme (ng/ul)
277,A2,A4,3e-05,Enzyme (ng/ul)
278,A3,A4,0.00096,Enzyme (ng/ul)
279,A4,A4,0.00096,Enzyme (ng/ul)
280,A5,A4,6e-05,Enzyme (ng/ul)
281,A6,A4,0.00096,Enzyme (ng/ul)
282,A7,A4,3e-05,Enzyme (ng/ul)
283,A8,A4,0.00024,Enzyme (ng/ul)
284,A9,A4,3e-05,Enzyme (ng/ul)
285,A10,A4,0.00096,Enzyme (ng/ul)
286,A11,A4,0.00012,Enzyme (ng/ul)
287,A12,A4,3e-05,Enzyme (ng/ul)
288,B1,A4,0.00012,Enzyme (ng/ul)
289,B2,A4,0.00096,Enzyme (ng/ul)
290,B3,A4,0.00096,Enzyme (ng/ul)
291,B4,A4,6e-05,Enzyme (ng/ul)
292,B5,A4,3e-05,Enzyme (ng/ul)
293,B6,A4,0.00096,Enzyme (ng/ul)
294,B7,A4,0.00096,Enzyme (ng/ul)
295,B8,A4,6e-05,Enzyme (ng/ul)
296,B9,A4,0.00096,Enzyme (ng/ul)
297,B10,A4,0.00096,Enzyme (ng/ul)
298,B11,A4,0.00096,Enzyme (ng/ul)
299,B12,A4,0.00024,Enzyme (ng/ul)
300,C1,A4,3e-05,Enzyme (ng/ul)
301,C2,A4,0.00096,Enzyme (ng/ul)
302,C3,A4,0.00012,Enzyme (ng/ul)
303,C4,A4,0.00096,Enzyme (ng/ul)
304,C5,A4,0.00096,Enzyme (ng/ul)
305,C6,A4,6e-05,Enzyme (ng/ul)
306,C7,A4,6e-05,Enzyme (ng/ul)
307,C8,A4,0.00096,Enzyme (ng/ul)
308,C9,A4,3e-05,Enzyme (ng/ul)
309,C10,A4,3e-05,Enzyme (ng/ul)
310,C11,A4,3e-05,Enzyme (ng/ul)
311,C12,A4,0.00024,Enzyme (ng/ul)
312,D1,A4,0.00096,Enzyme (ng/ul)
313,D2,A4,3e-05,Enzyme (ng/ul)
314,D3,A4,3e-05,Enzyme (ng/ul)
315,D4,A4,3e-05,Enzyme (ng/ul)
316,D5,A4,6e-05,Enzyme (ng/ul)
317,D6,A4,6e-05,Enzyme (ng/ul)
318,D7,A4,3e-05,Enzyme (ng/ul)
319,D8,A4,0.00096,Enzyme (ng/ul)
320,D9,A4,0.00048,Enzyme (ng/ul)
321,D10,A4,0.00096,Enzyme (ng/ul)
322,D11,A4,0.00096,Enzyme (ng/ul)
323,D12,A4,0.00096,Enzyme (ng/ul)
324,E1,A4,6e-05,Enzyme (ng/ul)
325,E2,A4,3e-05,Enzyme (ng/ul)
326,E3,A4,6e-05,Enzyme (ng/ul)
327,E4,A4,6e-05,Enzyme (ng/ul)
328,E5,A4,3e-05,Enzyme (ng/ul)
329,E6,A4,0.00024,Enzyme (ng/ul)
330,E7,A4,0.00024,Enzyme (ng/ul)
331,E8,A4,3e-05,Enzyme (ng/ul)
332,E9,A4,0.00012,Enzyme (ng/ul)
333,E10,A4,0.00012,Enzyme (ng/ul)
334,E11,A4,0.00012,Enzyme (ng/ul)
335,E12,A4,3e-05,Enzyme (ng/ul)
336,F1,A4,0.00096,Enzyme (ng/ul)
337,F2,A4,3e-05,Enzyme (ng/ul)
338,F3,A4,0.00096,Enzyme (ng/ul)
339,F4,A4,0.00024,Enzyme (ng/ul)
340,F5,A4,3e-05,Enzyme (ng/ul)
341,F6,A4,3e-05,Enzyme (ng/ul)
342,F7,A4,3e-05,Enzyme (ng/ul)
343,F8,A4,0.00096,Enzyme (ng/ul)
344,F9,A4,6e-05,Enzyme (ng/ul)
345,F10,A4,3e-05,Enzyme (ng/ul)
346,F11,A4,0.00096,Enzyme (ng/ul)
347,F12,A4,0.00012,Enzyme (ng/ul)
348,G1,A4,0.00012,Enzyme (ng/ul)
349,G2,A4,0.00096,Enzyme (ng/ul)
350,G3,A4,3e-05,Enzyme (ng/ul)
351,G4,A4,0.00096,Enzyme (ng/ul)
352,G5,A4,0.00096,Enzyme (ng/ul)
353,G6,A4,3e-05,Enzyme (ng/ul)
354,G7,A4,0.00048,Enzyme (ng/ul)
355,G8,A4,0.00012,Enzyme (ng/ul)
356,G9,A4,0.00096,Enzyme (ng/ul)
357,G10,A4,6e-05,Enzyme (ng/ul)
358,G11,A4,0.00096,Enzyme (ng/ul)
359,G12,A4,0.00096,Enzyme (ng/ul)
360,H1,A4,0.00096,Enzyme (ng/ul)
361,H2,A4,0.00048,Enzyme (ng/ul)
362,H3,A4,0.00096,Enzyme (ng/ul)
363,H4,A4,6e-05,Enzyme (ng/ul)
364,H5,A4,0.00048,Enzyme (ng/ul)
365,H6,A4,0.00048,Enzyme (ng/ul)
366,H7,A4,3e-05,Enzyme (ng/ul)
367,H8,A4,3e-05,Enzyme (ng/ul)
368,A1,A5,0.0025,TMAC (mM)
369,A2,A5,0.0075,TMAC (mM)
370,A3,A5,0.01,TMAC (mM)
371,A4,A5,0.0,TMAC (mM)
372,A5,A5,0.0,TMAC (mM)
373,A6,A5,0.0,TMAC (mM)
374,A7,A5,0.0,TMAC (mM)
375,A8,A5,0.0,TMAC (mM)
376,A9,A5,0.01,TMAC (mM)
377,A10,A5,0.01,TMAC (mM)
378,A11,A5,0.005,TMAC (mM)
379,A12,A5,0.0025,TMAC (mM)
380,B1,A5,0.0025,TMAC (mM)
381,B2,A5,0.01,TMAC (mM)
382,B3,A5,0.01,TMAC (mM)
383,B4,A5,0.01,TMAC (mM)
384,B5,A5,0.01,TMAC (mM)
385,B6,A5,0.0,TMAC (mM)
386,B7,A5,0.01,TMAC (mM)
387,B8,A5,0.0,TMAC (mM)
388,B9,A5,0.0,TMAC (mM)
389,B10,A5,0.01,TMAC (mM)
390,B11,A5,0.0,TMAC (mM)
391,B12,A5,0.0025,TMAC (mM)
392,C1,A5,0.0,TMAC (mM)
393,C2,A5,0.01,TMAC (mM)
394,C3,A5,0.0075,TMAC (mM)
395,C4,A5,0.0,TMAC (mM)
396,C5,A5,0.01,TMAC (mM)
397,C6,A5,0.0,TMAC (mM)
398,C7,A5,0.01,TMAC (mM)
399,C8,A5,0.0,TMAC (mM)
400,C9,A5,0.01,TMAC (mM)
401,C10,A5,0.0,TMAC (mM)
402,C11,A5,0.01,TMAC (mM)
403,C12,A5,0.01,TMAC (mM)
404,D1,A5,0.0,TMAC (mM)
405,D2,A5,0.01,TMAC (mM)
406,D3,A5,0.0,TMAC (mM)
407,D4,A5,0.01,TMAC (mM)
408,D5,A5,0.0025,TMAC (mM)
409,D6,A5,0.005,TMAC (mM)
410,D7,A5,0.01,TMAC (mM)
411,D8,A5,0.0,TMAC (mM)
412,D9,A5,0.0025,TMAC (mM)
413,D10,A5,0.0,TMAC (mM)
414,D11,A5,0.01,TMAC (mM)
415,D12,A5,0.0,TMAC (mM)
416,E1,A5,0.0,TMAC (mM)
417,E2,A5,0.0,TMAC (mM)
418,E3,A5,0.0,TMAC (mM)
419,E4,A5,0.01,TMAC (mM)
420,E5,A5,0.01,TMAC (mM)
421,E6,A5,0.005,TMAC (mM)
422,E7,A5,0.0075,TMAC (mM)
423,E8,A5,0.01,TMAC (mM)
424,E9,A5,0.01,TMAC (mM)
425,E10,A5,0.0,TMAC (mM)
426,E11,A5,0.01,TMAC (mM)
427,E12,A5,0.0,TMAC (mM)
428,F1,A5,0.0,TMAC (mM)
429,F2,A5,0.0,TMAC (mM)
430,F3,A5,0.01,TMAC (mM)
431,F4,A5,0.0075,TMAC (mM)
432,F5,A5,0.0075,TMAC (mM)
433,F6,A5,0.0,TMAC (mM)
434,F7,A5,0.01,TMAC (mM)
435,F8,A5,0.01,TMAC (mM)
436,F9,A5,0.0,TMAC (mM)
437,F10,A5,0.0,TMAC (mM)
438,F11,A5,0.0,TMAC (mM)
439,F12,A5,0.0,TMAC (mM)
440,G1,A5,0.005,TMAC (mM)
441,G2,A5,0.01,TMAC (mM)
442,G3,A5,0.0,TMAC (mM)
443,G4,A5,0.01,TMAC (mM)
444,G5,A5,0.0,TMAC (mM)
445,G6,A5,0.01,TMAC (mM)
446,G7,A5,0.005,TMAC (mM)
447,G8,A5,0.0075,TMAC (mM)
448,G9,A5,0.01,TMAC (mM)
449,G10,A5,0.0075,TMAC (mM)
450,G11,A5,0.0,TMAC (mM)
451,G12,A5,0.0,TMAC (mM)
452,H1,A5,0.01,TMAC (mM)
453,H2,A5,0.0025,TMAC (mM)
454,H3,A5,0.01,TMAC (mM)
455,H4,A5,0.005,TMAC (mM)
456,H5,A5,0.0075,TMAC (mM)
457,H6,A5,0.01,TMAC (mM)
458,H7,A5,0.01,TMAC (mM)
459,H8,A5,0.0,TMAC (mM)
460,A1,A6,0.00025,DMSO (%)
461,A2,A6,0.0,DMSO (%)
462,A3,A6,0.0,DMSO (%)
463,A4,A6,0.00025,DMSO (%)
464,A5,A6,0.00025,DMSO (%)
465,A6,A6,0.0,DMSO (%)
466,A7,A6,0.00025,DMSO (%)
467,A8,A6,0.0,DMSO (%)
468,A9,A6,0.00025,DMSO (%)
469,A10,A6,0.0,DMSO (%)
470,A11,A6,0.00025,DMSO (%)
471,A12,A6,0.00025,DMSO (%)
472,B1,A6,0.0,DMSO (%)
473,B2,A6,0.00025,DMSO (%)
474,B3,A6,0.0,DMSO (%)
475,B4,A6,0.00025,DMSO (%)
476,B5,A6,0.00025,DMSO (%)
477,B6,A6,0.00025,DMSO (%)
478,B7,A6,0.0,DMSO (%)
479,B8,A6,0.00025,DMSO (%)
480,B9,A6,0.00025,DMSO (%)
481,B10,A6,0.00025,DMSO (%)
482,B11,A6,0.0,DMSO (%)
483,B12,A6,0.00025,DMSO (%)
484,C1,A6,0.0,DMSO (%)
485,C2,A6,0.0,DMSO (%)
486,C3,A6,0.00025,DMSO (%)
487,C4,A6,0.00025,DMSO (%)
488,C5,A6,0.00025,DMSO (%)
489,C6,A6,0.00025,DMSO (%)
490,C7,A6,0.0,DMSO (%)
491,C8,A6,0.00025,DMSO (%)
492,C9,A6,0.00025,DMSO (%)
493,C10,A6,0.0,DMSO (%)
494,C11,A6,0.00025,DMSO (%)
495,C12,A6,0.00025,DMSO (%)
496,D1,A6,0.00025,DMSO (%)
497,D2,A6,0.0,DMSO (%)
498,D3,A6,0.0,DMSO (%)
499,D4,A6,0.00025,DMSO (%)
500,D5,A6,0.00025,DMSO (%)
501,D6,A6,0.00025,DMSO (%)
502,D7,A6,0.00025,DMSO (%)
503,D8,A6,0.0,DMSO (%)
504,D9,A6,0.00025,DMSO (%)
505,D10,A6,0.0,DMSO (%)
506,D11,A6,0.0,DMSO (%)
507,D12,A6,0.00025,DMSO (%)
508,E1,A6,0.00025,DMSO (%)
509,E2,A6,0.0,DMSO (%)
510,E3,A6,0.0,DMSO (%)
511,E4,A6,0.0,DMSO (%)
512,E5,A6,0.00025,DMSO (%)
513,E6,A6,0.00025,DMSO (%)
514,E7,A6,0.0,DMSO (%)
515,E8,A6,0.0,DMSO (%)
516,E9,A6,0.0,DMSO (%)
517,E10,A6,0.0,DMSO (%)
518,E11,A6,0.0,DMSO (%)
519,E12,A6,0.00025,DMSO (%)
520,F1,A6,0.0,DMSO (%)
521,F2,A6,0.00025,DMSO (%)
522,F3,A6,0.00025,DMSO (%)
523,F4,A6,0.00025,DMSO (%)
524,F5,A6,0.0,DMSO (%)
525,F6,A6,0.00025,DMSO (%)
526,F7,A6,0.0,DMSO (%)
527,F8,A6,0.0,DMSO (%)
528,F9,A6,0.0,DMSO (%)
529,F10,A6,0.0,DMSO (%)
530,F11,A6,0.0,DMSO (%)
531,F12,A6,0.0,DMSO (%)
532,G1,A6,0.00025,DMSO (%)
533,G2,A6,0.00025,DMSO (%)
534,G3,A6,0.0,DMSO (%)
535,G4,A6,0.00025,DMSO (%)
536,G5,A6,0.0,DMSO (%)
537,G6,A6,0.0,DMSO (%)
538,G7,A6,0.0,DMSO (%)
539,G8,A6,0.00025,DMSO (%)
540,G9,A6,0.00025,DMSO (%)
541,G10,A6,0.0,DMSO (%)
542,G11,A6,0.00025,DMSO (%)
543,G12,A6,0.0,DMSO (%)
544,H1,A6,0.00025,DMSO (%)
545,H2,A6,0.00025,DMSO (%)
546,H3,A6,0.0,DMSO (%)
547,H4,A6,0.0,DMSO (%)
548,H5,A6,0.00025,DMSO (%)
549,H6,A6,0.00025,DMSO (%)
550,H7,A6,0.0,DMSO (%)
551,H8,A6,0.00025,DMSO (%)
